HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
    88|00 01 04.60|-48 48 35.5| 5.71|000.26915958|-48.80985919
   107|00 01 20.11|-50 20 14.6| 5.53|000.33380226|-50.33739907
   122|00 01 35.85|-77 03 55.1| 4.78|000.39937928|-77.06529438
   124|00 01 37.02|+61 13 22.1| 5.58|000.40424537|+61.22280406
   145|00 01 49.44|-03 01 38.9| 5.13|000.45598912|-03.02747891
   154|00 01 57.59|-06 00 50.3| 4.37|000.48996506|-06.01397169
   171|00 02 09.65|+27 05 04.2| 5.80|000.54018776|+27.08448905
   183|00 02 19.91|-29 43 13.6| 5.04|000.58297574|-29.72044805
   194|00 02 29.76|+08 29 08.1| 5.70|000.62398938|+08.48557854
   207|00 02 36.08|+66 05 56.3| 5.87|000.65034249|+66.09896341
   301|00 03 44.37|-17 20 09.5| 4.55|000.93488487|-17.33597002
   330|00 04 13.66|+62 17 15.6| 5.90|001.05693212|+62.28766460
   343|00 04 19.76|-16 31 44.0| 5.78|001.08233885|-16.52888969
   355|00 04 30.12|-10 30 34.2| 4.99|001.12550980|-10.50949443
   377|00 04 41.25|-71 26 12.7| 5.59|001.17188841|-71.43685835
   379|00 04 41.84|+67 09 59.0| 5.68|001.17432297|+67.16638761
   418|00 05 06.13|+61 18 50.3| 5.80|001.27555231|+61.31396468
   443|00 05 20.15|-05 42 28.2| 4.61|001.33394073|-05.70783255
   476|00 05 41.94|+13 23 46.6| 5.55|001.42473238|+13.39628227
   518|00 06 15.54|+58 26 12.1| 5.98|001.56474395|+58.43668966
   522|00 06 18.66|-49 04 30.3| 5.70|001.57776340|-49.07509405
   531|00 06 26.53|+64 11 46.2| 5.57|001.61052855|+64.19616859
   636|00 07 46.86|-22 30 30.5| 5.93|001.94523194|-22.50847542
   655|00 08 03.52|-33 31 45.6| 5.67|002.01465535|-33.52933371
   671|00 08 17.55|-08 49 26.5| 5.99|002.07313617|-08.82402541
   677|00 08 23.17|+29 05 27.0| 2.07|002.09653333|+29.09082805
   729|00 09 02.34|+18 12 43.3| 5.57|002.25974230|+18.21202529
   746|00 09 10.09|+59 09 00.8| 2.28|002.29204036|+59.15021814
   761|00 09 21.02|-27 59 16.5| 5.42|002.33758620|-27.98790390
